published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_countrycode,objects_has_affiliations_id_ror,objects_has_affiliations_id_source,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_id_source,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_ror,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_id_issnl,objects_has_venue_id_source,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_countrycode,dois_has_affiliations_id_ror,dois_has_affiliations_id_source,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_id_source,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_ror,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_id_issnl,dois_has_venue_id_source,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_countrycode,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_id_source,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_id_source,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_ror,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_id_issnl,non_dois_has_venue_id_source,non_dois_has_venue_string
2021,book,99,45,54,52,99,99,99,99,99,99,37,99,99,99,30,99,0,0,0,0,15,74,10,10,74,74,23,45,45,45,45,45,45,24,45,45,45,29,45,0,0,0,0,5,43,10,10,43,43,29,54,54,54,54,54,54,13,54,54,54,1,54,0,0,0,0,10,31,0,0,31,31
2021,book-chapter,3260,3248,12,1943,3260,3260,3260,3260,3260,3260,1270,3260,3260,3260,1055,3260,0,0,0,0,2699,3102,731,731,3102,3102,1942,3248,3248,3248,3248,3248,3248,1266,3248,3248,3248,1055,3248,0,0,0,0,2699,3090,731,731,3090,3090,1,12,12,12,12,12,12,4,12,12,12,0,12,0,0,0,0,0,12,0,0,12,12
2021,book-part,4,4,0,3,4,4,4,4,4,4,1,4,4,4,0,4,0,0,0,0,1,4,0,0,4,4,3,4,4,4,4,4,4,1,4,4,4,0,4,0,0,0,0,1,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,dataset,132,132,0,27,132,132,132,132,132,132,57,132,132,132,1,132,0,0,0,0,0,129,0,0,129,129,27,132,132,132,132,132,132,57,132,132,132,1,132,0,0,0,0,0,129,0,0,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,dissertation,10,10,0,4,10,10,10,10,10,10,2,10,10,10,1,10,0,0,0,0,0,3,0,0,3,3,4,10,10,10,10,10,10,2,10,10,10,1,10,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,journal-article,64425,63497,928,59568,64425,64425,64425,64425,64425,64425,45066,64425,64425,64425,51820,64425,0,0,0,0,56533,58084,57277,57277,58084,58084,59091,63497,63497,63497,63497,63497,63497,44529,63497,63497,63497,51754,63497,0,0,0,0,56446,57506,56912,56912,57506,57506,477,928,928,928,928,928,928,537,928,928,928,66,928,0,0,0,0,87,578,365,365,578,578
2021,journal-issue,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,monograph,29,28,1,26,29,29,29,29,29,29,5,29,29,29,25,29,0,0,0,0,10,2,2,2,2,2,26,28,28,28,28,28,28,4,28,28,28,24,28,0,0,0,0,10,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2021,other,156,146,10,109,156,156,156,156,156,156,69,156,156,156,35,156,0,0,0,0,101,56,26,26,56,56,109,146,146,146,146,146,146,66,146,146,146,35,146,0,0,0,0,101,46,26,26,46,46,0,10,10,10,10,10,10,3,10,10,10,0,10,0,0,0,0,0,10,0,0,10,10
2021,peer-review,235,235,0,191,235,235,235,235,235,235,135,235,235,235,11,235,0,0,0,0,0,0,0,0,0,0,191,235,235,235,235,235,235,135,235,235,235,11,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,posted-content,4412,3338,1074,4318,4412,4412,4412,4412,4412,4412,3299,4412,4412,4412,1431,4412,0,0,0,0,2811,3710,156,156,3710,3710,3281,3338,3338,3338,3338,3338,3338,2696,3338,3338,3338,1287,3338,0,0,0,0,2018,2652,16,16,2652,2652,1037,1074,1074,1074,1074,1074,1074,603,1074,1074,1074,144,1074,0,0,0,0,793,1058,140,140,1058,1058
2021,proceedings,60,57,3,6,60,60,60,60,60,60,31,60,60,60,2,60,0,0,0,0,4,56,0,0,56,56,6,57,57,57,57,57,57,30,57,57,57,2,57,0,0,0,0,4,55,0,0,55,55,0,3,3,3,3,3,3,1,3,3,3,0,3,0,0,0,0,0,1,0,0,1,1
2021,proceedings-article,3409,3138,271,3071,3409,3409,3409,3409,3409,3409,1993,3409,3409,3409,1567,3409,0,0,0,0,2104,1117,48,48,1117,1117,2939,3138,3138,3138,3138,3138,3138,1843,3138,3138,3138,1534,3138,0,0,0,0,2041,847,48,48,847,847,132,271,271,271,271,271,271,150,271,271,271,33,271,0,0,0,0,63,270,0,0,270,270
2021,reference-entry,23,23,0,23,23,23,23,23,23,23,0,23,23,23,4,23,0,0,0,0,0,1,0,0,1,1,23,23,23,23,23,23,23,0,23,23,23,4,23,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,report,130,125,5,19,130,130,130,130,130,130,54,130,130,130,15,130,0,0,0,0,4,109,0,0,109,109,18,125,125,125,125,125,125,52,125,125,125,15,125,0,0,0,0,4,104,0,0,104,104,1,5,5,5,5,5,5,2,5,5,5,0,5,0,0,0,0,0,5,0,0,5,5